x_um,Ex_real_Vpm,Ex_imag_Vpm,Ey_real_Vpm,Ey_imag_Vpm,Ez_real_Vpm,Ez_imag_Vpm
-4.694858017176363,6934.861543300123,-33768.900568364385,123941.85545183154,73474.08086470395,-14314.369218321332,7430.58291508788
-4.678807220536444,6473.393233122344,-34414.668564517655,121819.32674082927,70544.53514413745,-14652.212307046835,6608.539124861109
-4.662756423896525,6011.924922944589,-35060.4365606709,119528.81511984448,67661.99415025742,-14942.546167737553,5766.56308843047
-4.6467056272566065,5550.456612766864,-35706.2045568241,117070.32058887716,64826.45788306394,-15185.370800393477,4904.654805796017
-4.630654830616686,5088.988302589078,-36351.972552977364,114443.84314792701,62037.92634255658,-15380.686205014605,4022.8142769576298
-4.614604033976768,5466.6748588468145,-36001.258162687795,111337.21455979322,59063.48731434443,-14329.25325493819,4498.4466840733185
-4.598553237336848,5061.809012314488,-36420.628034859394,107945.54975679639,56109.699566032825,-14199.56823619468,4113.51827721813
-4.5825024406969295,4838.681550402686,-36768.029366226045,104522.7114814443,53239.268264401086,-14032.20837797506,3711.7645299604637
-4.566451644057009,4615.554088490847,-37115.43069759278,101060.35827964061,50417.9116306103,-13826.576315792261,3304.093550976726
-4.550400847417091,3951.542100700385,-37660.498015342026,98869.40108769696,48234.34728151959,-11411.37886662827,3837.8823017410386
-4.534350050777172,3521.4846054888253,-38109.53549850593,95594.12878070219,45669.160148978626,-10580.310856434728,3626.865151142044
-4.518299254137252,4501.9193659627,-38034.15571783585,94147.44426158871,43826.14343164149,-11579.596457242615,2607.159500766873
-4.502248457497333,4573.447181845397,-38242.307107990026,91453.09089935738,41544.75348891355,-11002.2441387693,2045.9980159473769
-4.486197660857414,4644.974997728079,-38450.45849814419,88764.5518473426,39211.39344465544,-10406.195831828527,1477.9337043951518
-4.470146864217495,4407.050381969512,-38873.25386263242,83347.36613209861,35313.70856292299,-11304.743008584755,83.12302218465402
-4.454096067577575,4430.785507398614,-39172.68727168988,80396.11228254884,32566.045947977156,-10864.744407015578,-687.1602499325722
