physical_angle_from_+z_deg,normalized_power
4.513425432725986042e+01,9.999384365825287890e-01
4.501470196736729434e+01,1.000000000000000000e+00
4.489539867239757598e+01,9.996589322653295362e-01
4.477634237810859474e+01,9.989113201956153487e-01
4.465753104579181354e+01,9.977537906428316505e-01
4.453896266182707819e+01,9.961835245185316490e-01
4.442063523724718976e+01,9.941982695942080950e-01
4.430254680731201233e+01,9.917963520225251406e-01
4.418469543109226549e+01,9.889766865286060415e-01
4.406707919106207783e+01,9.857387852247101456e-01
4.394969619270062111e+01,9.820827650060443004e-01
4.383254456410232791e+01,9.780093534900619057e-01
4.371562245559552906e+01,9.735198934663756853e-01
4.359892803936925532e+01,9.686163458293877149e-01
4.348245950910802549e+01,9.633012909708278393e-01
4.336621507963444344e+01,9.575779286146268721e-01
4.325019298655934108e+01,9.514500760818898062e-01
4.313439148593918304e+01,9.449221649791356148e-01
4.301880885394086107e+01,9.379992363084603824e-01
4.290344338651339484e+01,9.306869340037713378e-01
4.278829339906629770e+01,9.229914969027819271e-01
4.267335722615491278e+01,9.149197491699502249e-01
4.255863322117193093e+01,9.064790891910297077e-01
4.244411975604545972e+01,8.976774769653186326e-01
4.232981522094300431e+01,8.885234200270254457e-01
4.221571802398175777e+01,8.790259579324052330e-01
4.210182659094454038e+01,8.691946453544281415e-01
4.198813936500146582e+01,8.590395338316932916e-01
4.187465480643728455e+01,8.485711522230974246e-01
4.176137139238412743e+01,8.378004859243529667e-01
4.164828761655948597e+01,8.267389549068457910e-01
4.153540198900952873e+01,8.153983906434844053e-01
4.142271303585727793e+01,8.037910119900897321e-01
4.131021929905590184e+01,7.919294000945322765e-01
4.119791933614666135e+01,7.798264724091976685e-01
4.108581172002174497e+01,7.674954558854270026e-01
4.097389503869150218e+01,7.549498594313565070e-01
4.086216789505628810e+01,7.422034457170312294e-01
4.075062890668266391e+01,7.292702024128064897e-01
4.063927670558380356e+01,7.161643129488227677e-01
4.052810993800417094e+01,7.029001268848071859e-01
4.041712726420825419e+01,6.894921299805460979e-01
4.030632735827317958e+01,6.759549140581349036e-01
4.019570890788543238e+01,6.623031467474879141e-01
4.008527061414111614e+01,6.485515412066640284e-01
3.997501119135019110e+01,6.347148259082183719e-01
3.986492936684414445e+01,6.208077145821619958e-01
3.975502388078732707e+01,6.068448764050802247e-01
3.964529348599175762e+01,5.928409065236243114e-01
3.953573694773518810e+01,5.788102969989095126e-01
3.942635304358270787e+01,5.647674082563396425e-01
3.931714056321141726e+01,5.507264411230696766e-01
3.920809830823833408e+01,5.367014095326814171e-01
3.909922509205139818e+01,5.227061139737491091e-01
3.899051973964351703e+01,5.087541157557714522e-01
3.888198108744958859e+01,4.948587121625019902e-01
3.877360798318637336e+01,4.810329125590218080e-01
3.866539928569530815e+01,4.672894155149692752e-01
3.855735386478798432e+01,4.536405870022189313e-01
3.844947060109439718e+01,4.400984397209863896e-01
3.834174838591390255e+01,4.266746136038420123e-01
3.823418612106870285e+01,4.133803575424867538e-01
3.812678271875989111e+01,4.002265123773752764e-01
3.801953710142608145e+01,3.872234951854069962e-01
3.791244820160427764e+01,3.743812848959399697e-01
3.780551496179343474e+01,3.617094092603757582e-01
3.769873633432003857e+01,3.492169331954961820e-01
3.759211128120620771e+01,3.369124485156607118e-01
3.748563877403994837e+01,3.248040650638894244e-01
3.737931779384759778e+01,3.128994032468185305e-01
3.727314733096844890e+01,3.012055879734988895e-01
3.716712638493146414e+01,2.897292439930784780e-01
3.706125396433409946e+01,2.784764926215544389e-01
3.695552908672307524e+01,2.674529498430413543e-01
3.684995077847713674e+01,2.566637257663810234e-01
3.674451807469188225e+01,2.461134254134484112e-01
3.663923001906628940e+01,2.358061508111979898e-01
3.653408566379126654e+01,2.257455043553575902e-01
3.642908406943996624e+01,2.159345934097440245e-01
3.632422430485991782e+01,2.063760361014333189e-01
3.621950544706681541e+01,1.970719682685183882e-01
3.611492658114017473e+01,1.880240515138995872e-01
3.601048680012060288e+01,1.792334823155248835e-01
3.590618520490868093e+01,1.707010021407121825e-01
3.580202090416549510e+01,1.624269085096677612e-01
3.569799301421482340e+01,1.544110669510604383e-01
3.559410065894677189e+01,1.466529237905341010e-01
3.549034296972298108e+01,1.391515197113369906e-01
3.538671908528337440e+01,1.319055040248270083e-01
3.528322815165429915e+01,1.249131495874700737e-01
3.517986932205818107e+01,1.181723683000886760e-01
3.507664175682446484e+01,1.116807271245411348e-01
3.497354462330213920e+01,1.054354645527066509e-01
3.487057709577348419e+01,9.943350746262569206e-02
3.476773835536908308e+01,9.367148829688050349e-02
3.466502758998435496e+01,8.814576249880468062e-02
3.456244399419720281e+01,8.285242614286375540e-02
3.445998676918693349e+01,7.778733369654906860e-02
3.435765512265454191e+01,7.294611585236315809e-02
3.425544826874403981e+01,6.832419736993615433e-02
3.415336542796507047e+01,6.391681486998716799e-02
3.405140582711666752e+01,5.971903452372015475e-02
3.394956869921220033e+01,5.572576958330832664e-02
3.384785328340537802e+01,5.193179770135833428e-02
3.374625882491737627e+01,4.833177798964529565e-02
3.364478457496512931e+01,4.492026776995132475e-02
3.354342979069052433e+01,4.169173897251518546e-02
3.344219373509081805e+01,3.864059414038693852e-02
3.334107567694994856e+01,3.576118200086827320e-02
3.324007489077095556e+01,3.304781256818695168e-02
3.313919065670929598e+01,3.049477174458888398e-02
3.303842226050719688e+01,2.809633539011632819e-02
3.293776899342893216e+01,2.584678283446002409e-02
3.283723015219707264e+01,2.374040980741073947e-02
3.273680503892961013e+01,2.177154076757730275e-02
3.263649296107800524e+01,1.993454061216644313e-02
3.253629323136617302e+01,1.822382575372207339e-02
3.243620516773022899e+01,1.663387455278261123e-02
3.233622809325921565e+01,1.515923709842080871e-02
3.223636133613661769e+01,1.379454433156858568e-02
3.213660422958263041e+01,1.253451650888732019e-02
3.203695611179744418e+01,1.137397100770928642e-02
3.193741632590510093e+01,1.030782947523878855e-02
3.183798421989825655e+01,9.331124327750864311e-03
3.173865914658373910e+01,8.439004607952358544e-03
3.163944046352877493e+01,7.626741210966628097e-03
3.154032753300805680e+01,6.889731491561226252e-03
3.144131972195145863e+01,6.223503267250940149e-03
3.134241640189250688e+01,5.623718233772251329e-03
3.124361694891764429e+01,5.086174811132873272e-03
3.114492074361599094e+01,4.606810439990173880e-03
3.104632717103002193e+01,4.181703349500799985e-03
3.094783562060675308e+01,3.807073819009425177e-03
3.084944548614964432e+01,3.479284957006818866e-03
3.075115616577115674e+01,3.194843021686233700e-03
3.065296706184599884e+01,2.950397308163341201e-03
3.055487758096485607e+01,2.742739628001226223e-03
3.045688713388892310e+01,2.568803407100374390e-03
3.035899513550490170e+01,2.425662428278292908e-03
3.026120100478070896e+01,2.310529244978600308e-03
3.016350416472163332e+01,2.220753292520204029e-03
3.006590404232725433e+01,2.153818723129476923e-03
2.996840006854879945e+01,2.107341990698605606e-03
2.987099167824700530e+01,2.079069210788286361e-03
2.977367831015081023e+01,2.066873320850696593e-03
2.967645940681622463e+01,2.068751064996616346e-03
2.957933441458601465e+01,2.082819826877636751e-03
2.948230278354979461e+01,2.107314333408913214e-03
2.938536396750459545e+01,2.140583251129281155e-03
2.928851742391609392e+01,2.181085695992636495e-03
2.919176261388015448e+01,2.227387676317087346e-03
2.909509900208502486e+01,2.278158487495617838e-03
2.899852605677390827e+01,2.332167075903785435e-03
2.890204324970806127e+01,2.388278388235405818e-03
2.880565005613038210e+01,2.445449721266108618e-03
2.870934595472938256e+01,2.502727085795894424e-03
2.861313042760371417e+01,2.559241597264937888e-03
2.851700296022707093e+01,2.614205904280242788e-03
2.842096304141353613e+01,2.666910665043211240e-03
2.832501016328343368e+01,2.716721080437773696e-03
2.822914382122950627e+01,2.763073491333179008e-03
2.813336351388359446e+01,2.805472046482390680e-03
2.803766874308368884e+01,2.843485446262901829e-03
2.794205901384139779e+01,2.876743766418251094e-03
2.784653383430983098e+01,2.904935364921389530e-03
2.775109271575187009e+01,2.927803874100410198e-03
2.765573517250880542e+01,2.945145279248034560e-03
2.756046072196940244e+01,2.956805084082460896e-03
2.746526888453930937e+01,2.962675562642305693e-03
2.737015918361085198e+01,2.962693096485423134e-03
2.727513114553319795e+01,2.956835595422364297e-03
2.718018429958285154e+01,2.945119999451885351e-03
2.708531817793456398e+01,2.927599859079467199e-03
2.699053231563252808e+01,2.904362990790048706e-03
2.689582625056196363e+01,2.875529204113682052e-03
2.680119952342102252e+01,2.841248096466152118e-03
2.670665167769302784e+01,2.801696911764752461e-03
2.661218225961907535e+01,2.757078458710380056e-03
2.651779081817087658e+01,2.707619084588549357e-03
2.642347690502404234e+01,2.653566700470779034e-03
2.632924007453156889e+01,2.595188853790989739e-03
2.623507988369770771e+01,2.532770844424956768e-03
2.614099589215210884e+01,2.466613880610724410e-03
2.604698766212426619e+01,2.397033271309283869e-03
2.595305475841830045e+01,2.324356651913358010e-03
2.585919674838793725e+01,2.248922240562409389e-03
2.576541320191192241e+01,2.171077122708974048e-03
2.567170369136957220e+01,2.091175561999396911e-03
2.557806779161669652e+01,2.009577335975799937e-03
2.548450507996178871e+01,1.926646095569467879e-03
2.539101513614242123e+01,1.842747747833486157e-03
2.529759754230202518e+01,1.758248861848605736e-03
2.520425188296681895e+01,1.673515098224965256e-03
2.511097774502306379e+01,1.588909663108357614e-03
2.501777471769457861e+01,1.504791788077391437e-03
2.492464239252045388e+01,1.421515237781901522e-03
2.483158036333308516e+01,1.339426847618446900e-03
